,Unnamed: 0,Title,Url,Time,Year,Type
40,40,Seasonality of flights in China: Spatial heterogeneity and its determinants,https://www.sciencedirect.com/science/article/pii/S0969699722001739,16 January 2023,2023,Research Article
41,41,Prioritization of used aircraft acquisition criteria: A fuzzy best–worst method (BWM)-based approach,https://www.sciencedirect.com/science/article/pii/S0969699723000029,11 January 2023,2023,Research Article
42,42,Product–service system negotiation in aircraft lease contracts with option of disagreement,https://www.sciencedirect.com/science/article/pii/S0969699722001624,27 December 2022,2022,Research Article
43,43,Decomposing airline profit inefficiency in NDEA through the non-competitive Nerlovian profit inefficiency model,https://www.sciencedirect.com/science/article/pii/S0969699722001697,26 December 2022,2022,Research Article
44,44,Financial conditions and incumbent quality responses to entry: Evidence from airlines' on-time performance,https://www.sciencedirect.com/science/article/pii/S0969699722001715,20 December 2022,2022,Research Article
45,45,Analyzing service quality of domestic airlines in an emerging country- Bangladesh by structural equation models,https://www.sciencedirect.com/science/article/pii/S096969972200165X,19 December 2022,2022,Research Article
46,46,How do airlines survive? An integrated efficiency analysis on the survival of airlines,https://www.sciencedirect.com/science/article/pii/S0969699722001673,16 December 2022,2022,Research Article
47,47,Up in the air! Airline passenger's brand experience and its impact on brand satisfaction mediated by brand love,https://www.sciencedirect.com/science/article/pii/S0969699722001648,12 December 2022,2022,Research Article
48,48,"An maintenance, repair, and overhaul (MRO) safety oversight system analysis: A case in Korea",https://www.sciencedirect.com/science/article/pii/S0969699722001685,12 December 2022,2022,Research Article
49,49,Optimal aircraft arrival scheduling with continuous descent operations in busy terminal maneuvering areas,https://www.sciencedirect.com/science/article/pii/S0969699722001636,10 December 2022,2022,Research Article
50,50,Consumer intention over upcoming utopia: Urban air mobility,https://www.sciencedirect.com/science/article/pii/S0969699722001557,7 December 2022,2022,Research Article
51,51,Airborne flight time: A comparative analysis between the U.S. and China,https://www.sciencedirect.com/science/article/pii/S0969699722001600,1 December 2022,2022,Research Article
52,52,Airline brand awareness and perceived quality effect on the attitudes towards frequent-flyer programs and airline brand choice - Moderating effect of frequent-flyer programs,https://www.sciencedirect.com/science/article/pii/S0969699722001612,29 November 2022,2022,Research Article
53,53,The limitation of machine-learning based models in predicting airline flight block time,https://www.sciencedirect.com/science/article/pii/S0969699722001582,28 November 2022,2022,Research Article
54,54,Identifying requirements for airborne-supplied city hubs,https://www.sciencedirect.com/science/article/pii/S0969699722001454,21 November 2022,2022,Research Article
55,55,The impact of COVID-19 on airlines’ price curves,https://www.sciencedirect.com/science/article/pii/S0969699722001478,18 November 2022,2022,Research Article
56,56,Causal nexus between air transportation and economic growth in BRICS countries,https://www.sciencedirect.com/science/article/pii/S0969699722001545,17 November 2022,2022,Research Article
57,57,The effect of airline dominance on airport performance: Empirical evidence from medium-sized European airports,https://www.sciencedirect.com/science/article/pii/S0969699722001363,11 November 2022,2022,Research Article
58,58,The economic value rationale of fuel hedging: An empirical perspective from the global airline industry,https://www.sciencedirect.com/science/article/pii/S0969699722001430,4 November 2022,2022,Research Article
59,59,Flight reliability during periods of high uncertainty,https://www.sciencedirect.com/science/article/pii/S0969699722001417,4 November 2022,2022,Research Article
60,60,Understanding the factors affecting airport level demand (arrivals and departures) using a novel modeling approach,https://www.sciencedirect.com/science/article/pii/S0969699722001399,3 November 2022,2022,Research Article
61,61,Assessing the effect of flight information presentation styles on the usability of airline web booking interface,https://www.sciencedirect.com/science/article/pii/S0969699722001429,31 October 2022,2022,Research Article
62,62,Influence of COVID-19 on air travel - A scenario study toward future trusted aviation,https://www.sciencedirect.com/science/article/pii/S0969699722001442,31 October 2022,2022,Research Article
63,63,Influential factors to aircraft taxi time in airport,https://www.sciencedirect.com/science/article/pii/S0969699722001405,27 October 2022,2022,Research Article
64,64,Long-term audit staff scheduling and planning: A case study of Brazilian civil aviation authority,https://www.sciencedirect.com/science/article/pii/S0969699722001375,25 October 2022,2022,Research Article
65,65,Investigation of the aerotropolis concept and its transferability around the world,https://www.sciencedirect.com/science/article/pii/S0969699722000916,18 October 2022,2022,Research Article
66,66,The effects of frequent flyer programs in the competition with high speed rail: A case study of air passenger preference in Japan,https://www.sciencedirect.com/science/article/pii/S0969699722001259,15 October 2022,2022,Research Article
67,67,An empirical study of the resilience of the US and European air transportation networks,https://www.sciencedirect.com/science/article/pii/S0969699722001223,5 October 2022,2022,Research Article
68,68,On the Matthew effect in a multi-airport system: Evidence from the viewpoint of airport green efficiency,https://www.sciencedirect.com/science/article/pii/S0969699722001235,3 October 2022,2022,Research Article
69,69,"Evaluating the impact of air transportation, railway transportation, and trade openness on inbound and outbound tourism in BRI countries",https://www.sciencedirect.com/science/article/pii/S0969699722001260,1 October 2022,2022,Research Article
70,70,Temporal attention aware dual-graph convolution network for air traffic flow prediction,https://www.sciencedirect.com/science/article/pii/S096969972200120X,26 September 2022,2022,Research Article
73,73,A combined optimization–simulation approach for modified outside-in boarding under COVID-19 regulations including limited baggage compartment capacities,https://www.sciencedirect.com/science/article/pii/S0969699722000783,22 July 2022,2022,Research Article
78,78,Exploring factors affecting airport selection during the COVID-19 pandemic from air cargo carriers’ perspective through the triangular fuzzy Dombi-Bonferroni BWM methodology,https://www.sciencedirect.com/science/article/pii/S0969699722001211,16 September 2022,2022,Research Article
79,79,Behind the scenes of glamour: A systematic literature review of the business aviation sector,https://www.sciencedirect.com/science/article/pii/S0969699722001181,15 September 2022,2022,Research Article
80,80,The service quality of travel service centers in international airports in Taiwan,https://www.sciencedirect.com/science/article/pii/S0969699722001120,11 September 2022,2022,Research Article
81,81,How has airport service quality changed in the context of COVID-19: A data-driven crowdsourcing approach based on sentiment analysis,https://www.sciencedirect.com/science/article/pii/S096969972200117X,9 September 2022,2022,Research Article
82,82,Airline seasonality: An explorative analysis of major low-cost carriers in Europe and the United States,https://www.sciencedirect.com/science/article/pii/S0969699722000928,2 September 2022,2022,Research Article
83,83,A novel Integrated Risk Management Method for Airport operations,https://www.sciencedirect.com/science/article/pii/S0969699722001156,1 September 2022,2022,Research Article
84,84,A dynamic analysis of air transport and tourism in Brazil,https://www.sciencedirect.com/science/article/pii/S0969699722001168,1 September 2022,2022,Research Article
85,85,Air taxi skyport location problem with single-allocation choice-constrained elastic demand for airport access,https://www.sciencedirect.com/science/article/pii/S0969699722001132,30 August 2022,2022,Research Article
86,86,Forecasting airport pavement repair hours,https://www.sciencedirect.com/science/article/pii/S0969699722001028,30 August 2022,2022,Research Article
87,87,The risk of an airport traffic accident in the context of the ground handling personnel performance,https://www.sciencedirect.com/science/article/pii/S0969699722001144,28 August 2022,2022,Research Article
88,88,Airline stock markets reaction to the COVID-19 outbreak and vaccines: An event study,https://www.sciencedirect.com/science/article/pii/S0969699722001004,22 August 2022,2022,Research Article
89,89,A column generation approach for operational flight scheduling and aircraft maintenance routing,https://www.sciencedirect.com/science/article/pii/S0969699722000904,22 August 2022,2022,Research Article
