name,institution,publish_date,doi,cite,abstract,introduction,Title,Url,Time,Year,Type,Unnamed: 0
Khartov A.A.,"St. Petersburg State University, 7/9 Universitetskaya nab., 199034 St. Petersburg, Russia,ITMO University, Kronverksky Pr. 49, 197101 St. Petersburg, Russia","Received 5 September 2018, Revised 1 May 2019, Accepted 14 May 2019, Available online 24 May 2019, Version of Record 31 May 2019.",https://doi.org/10.1016/j.spl.2019.05.008,Cited by (17),"We consider the class of quasi-infinitely divisible distributions. These distributions have appeared before in the theory of decompositions of ====, and nowadays they have various applications in theory of stochastic processes, physics, and insurance mathematics. The characteristic functions of quasi-infinitely divisible distributions admit Lévy type representation with real drift, nonnegative Gaussian variance, and “signed Lévy measure”. Lindner et al. (2018) have recently done the first detailed analysis of these distributions based on such representations. The most complete results were established by them for the quasi-infinitely divisible distributions on the integers. In particular, the authors have obtained a criterion of weak convergence for distributions from this class in terms of parameters of their Lévy type representations. In the present short paper we complement this result by similar criteria of relative and stochastic compactness for quasi-infinitely divisible distributions with partial weak limits from this class. We also show that if a general sequence of distributions on the integers is relatively compact with quasi-infinitely divisible partial weak limits, then all distributions of the sequence are quasi-infinitely divisible except a finite number.",None,Compactness criteria for quasi-infinitely divisible distributions on the integers,https://www.sciencedirect.com/science/article/pii/S0167715219301373,24 May 2019,2019,Research Article,866.0
"Alhakim Abbas,Molchanov S.","AUB, Lebanon; UNCC, United States","Received 15 January 2019, Revised 9 May 2019, Accepted 10 May 2019, Available online 17 May 2019, Version of Record 27 May 2019.",https://doi.org/10.1016/j.spl.2019.05.006,Cited by (2),This paper investigates a curious phenomenon of some positive random variables having a constant density in some initial ,None,The density flatness phenomenon,https://www.sciencedirect.com/science/article/pii/S016771521930135X,17 May 2019,2019,Research Article,867.0
Cha Ji Hwan,"Department of Statistics, Ewha Womans University Seoul, 120-750, Republic of Korea","Received 22 October 2018, Revised 30 March 2019, Accepted 16 April 2019, Available online 17 May 2019, Version of Record 17 May 2019.",https://doi.org/10.1016/j.spl.2019.04.008,Cited by (3), is analyzed. Some of the properties obtained in this paper will be stated in general forms. One of the important contributions of this paper is to provide a new counting process model which allows explicit expression of the likelihood function.,None,Poisson Lindley process and its main properties,https://www.sciencedirect.com/science/article/pii/S0167715219301117,17 May 2019,2019,Research Article,868.0
"Talebi Ali,Moslehian M.S.,Sadeghi Ghadir","Department of Pure Mathematics, Ferdowsi University of Mashhad, P.O. Box 1159, Mashhad 91775, Iran,Department of Mathematics and Computer Sciences, Hakim Sabzevari University, P.O. Box 397, Sabzevar, Iran,Center of Excellence in Analysis on Algebraic Structures (CEAAS), Ferdowsi University of Mashhad, Iran","Received 15 April 2019, Revised 2 May 2019, Accepted 4 May 2019, Available online 16 May 2019, Version of Record 10 June 2019.",https://doi.org/10.1016/j.spl.2019.05.003,Cited by (0)," and ==== do not coincide, in general. In fact, it may happen that ====. It is an interesting question whether the reverse inclusion holds or not. In this note, motivated by this question, we prove that the validity of inequality ==== for some ==== and all martingales ==== gives rise to a certain representation of positive elements of the noncommutative space ====. Conversely, existence of such a representation for elements of ==== yields the inequality above for positive martingales of ====.",None,A representation of noncommutative ,https://www.sciencedirect.com/science/article/pii/S0167715219301324,16 May 2019,2019,Research Article,869.0
Hwang Eunju,"Department of Applied Statistics, Gachon University, Seongnam, South Korea","Received 16 August 2018, Revised 1 February 2019, Accepted 20 April 2019, Available online 16 May 2019, Version of Record 16 May 2019.",https://doi.org/10.1016/j.spl.2019.04.009,Cited by (2),". A Gaussian limit theory is established as ==== converges to the unity as ====, with rate condition ",None,A note on limit theory for mildly stationary autoregression with a heavy-tailed GARCH error process,https://www.sciencedirect.com/science/article/pii/S0167715219301129,16 May 2019,2019,Research Article,870.0
Shushi Tomer,"Department of Business Administration, Guilford Glazer Faculty of Business and Management, Ben-Gurion University of the Negev, Beer-Sheva, Israel","Received 29 March 2019, Revised 29 April 2019, Accepted 4 May 2019, Available online 15 May 2019, Version of Record 24 May 2019.",https://doi.org/10.1016/j.spl.2019.05.004,Cited by (0), on a circle is also elliptically distributed. We then examine statistical implications by considering the projection pursuit with the underlying random variables.,None,A note on the coefficients of elliptical random variables,https://www.sciencedirect.com/science/article/pii/S0167715219301336,15 May 2019,2019,Research Article,871.0
Zajkowski Krzysztof,"Institute of Mathematics, University of Bialystok, Ciolkowskiego 1M, 15-245 Bialystok, Poland","Received 3 April 2018, Revised 23 April 2019, Accepted 4 May 2019, Available online 14 May 2019, Version of Record 23 May 2019.",https://doi.org/10.1016/j.spl.2019.05.002,Cited by (3),We discuss various forms of the Luxemburg norm in spaces of random vectors with coordinates belonging to the classical ,None,Norms of sub-exponential random vectors,https://www.sciencedirect.com/science/article/pii/S0167715219301312,14 May 2019,2019,Research Article,872.0
"Zhang Yi-Chen,Sakhanenko Lyudmila","Department of Statistics and Probability, Michigan State University, East Lansing, MI 48824, USA","Received 10 January 2019, Revised 22 April 2019, Accepted 27 April 2019, Available online 14 May 2019, Version of Record 21 May 2019.",https://doi.org/10.1016/j.spl.2019.04.017,Cited by (25),"In this article, we extended the approach of Dai et al. (2017) to several populations case and compared various other approaches on simulated and real data. The results show that the ==== classifier for functional data is applicable to multi-category classification problems and has preferable finite-sample performance over competitors.",None,The naive Bayes classifier for functional data,https://www.sciencedirect.com/science/article/pii/S0167715219301208,14 May 2019,2019,Research Article,873.0
Xia Dong,"Hong Kong University of Science and Technology, Hong Kong","Received 20 August 2018, Revised 25 April 2019, Accepted 27 April 2019, Available online 14 May 2019, Version of Record 21 May 2019.",https://doi.org/10.1016/j.spl.2019.04.018,Cited by (4),"This note displays an interesting phenomenon for the percentiles of independent but non-identical random variables. Let ==== be independent random variables obeying non-identical continuous distributions and ==== be the corresponding order statistics. For ====, we investigate the ====%th percentile ==== and prove the non-asymptotic bounds for ==== for ==== and ====, we show that its median ==== as long as ==== satisfy certain mild non-dispersion property.",None,Non-asymptotic bounds for percentiles of independent non-identical random variables,https://www.sciencedirect.com/science/article/pii/S016771521930121X,14 May 2019,2019,Research Article,874.0
Yang Xue,"School of Mathematics, Tianjin University, Tianjin 300072, China","Received 17 February 2019, Revised 22 April 2019, Accepted 27 April 2019, Available online 13 May 2019, Version of Record 21 May 2019.",https://doi.org/10.1016/j.spl.2019.04.019,Cited by (2),", which are driven by an infinite dimensional Brownian motion and an independent compensated Poisson random measure. Existence and uniqueness of the solution to this class of reflected BSPDEs are proved. Penalization method plays an important role.",None,Reflected backward stochastic partial differential equations with jumps in a convex domain,https://www.sciencedirect.com/science/article/pii/S0167715219301221,13 May 2019,2019,Research Article,875.0
"Li Shuangbo,Zhang Li-Xin","School of Mathematical Sciences, Zhejiang University, China","Received 7 March 2018, Revised 22 December 2018, Accepted 20 April 2019, Available online 11 May 2019, Version of Record 20 May 2019.",https://doi.org/10.1016/j.spl.2019.04.011,Cited by (0),"We propose a new method to estimate the number of factors in a factor model using a new test for vector white noise for high-dimensional cases. We provide the theoretical basis for this method, and the simulation results indicate that the present method outperforms previous methods in some finite sample cases.",None,Identifying the number of factors using a white noise test,https://www.sciencedirect.com/science/article/pii/S0167715219301142,11 May 2019,2019,Research Article,876.0
Hildebrand Martin,"Department of Mathematics and Statistics, University at Albany, State University of New York, Albany, NY 12222, United States","Received 20 January 2019, Revised 23 April 2019, Accepted 27 April 2019, Available online 9 May 2019, Version of Record 21 May 2019.",https://doi.org/10.1016/j.spl.2019.04.020,Cited by (10),"Consider the random process on the integers mod ==== with ==== and ==== where ==== as possible values. We show that unless ==== or ====, then for some ==== depending on the probability distribution for ====, at least ==== steps are needed to make ==== close to uniformly distributed.",None,On a lower bound for the Chung–Diaconis–Graham random process,https://www.sciencedirect.com/science/article/pii/S0167715219301233,9 May 2019,2019,Research Article,877.0
Zeng Xingyuan,"Key Laboratory of Computing and Stochastic Mathematics (Ministry of Education), School of Mathematics and Statistics, Hunan Normal University, Changsha, Hunan 410081, PR China","Received 3 May 2018, Revised 22 April 2019, Accepted 27 April 2019, Available online 9 May 2019, Version of Record 21 May 2019.",https://doi.org/10.1016/j.spl.2019.04.016,Cited by (0),"We consider ==== random kernel matrix ==== whose entries are of form ==== with ==== or ==== for i.i.d. random vectors ====. Here ==== is a real-valued function, ==== is any real number which is allowed to change with ====, ==== is a ==== positive semi-definite matrix and the entries of ====’s are i.i.d. mean 0, variance 1 and have bounded ====
 ==== as ====.",None,Spectral distribution of large generalized random kernel matrices,https://www.sciencedirect.com/science/article/pii/S0167715219301191,9 May 2019,2019,Research Article,878.0
"Bissiri Pier Giovanni,Walker Stephen G.","Herschel Building, Newcastle University, Newcastle upon Tyne, NE1 7RU, UK,Department of Mathematics, The University of Texas at Austin, 2515 Speedway, RLM 8.100 Austin, TX 78712, USA","Received 8 June 2018, Revised 26 November 2018, Accepted 12 April 2019, Available online 8 May 2019, Version of Record 20 May 2019.",https://doi.org/10.1016/j.spl.2019.04.005,Cited by (2),Bissiri et al. (2016) propose a framework for general ,None,On general Bayesian inference using loss functions,https://www.sciencedirect.com/science/article/pii/S0167715219301087,8 May 2019,2019,Research Article,879.0
"Li Yizeng,Qi Yongcheng","Department of Mathematics and Statistics, University of Minnesota Duluth, 1117 University Drive, Duluth, MN 55812, USA","Received 17 December 2018, Revised 17 April 2019, Accepted 20 April 2019, Available online 3 May 2019, Version of Record 11 May 2019.",https://doi.org/10.1016/j.spl.2019.04.015,Cited by (2), of a heavy-tailed distribution. It is demonstrated in Lu and Peng (2002) that the empirical likelihood-based confidence intervals perform better than confidence intervals based on normal approximation in terms of the coverage ,None,Adjusted empirical likelihood method for the tail index of a heavy-tailed distribution,https://www.sciencedirect.com/science/article/pii/S016771521930118X,3 May 2019,2019,Research Article,880.0
"Fang Rongjuan,Li Zenghu","School of Mathematical Sciences, Beijing Normal University, Beijing 100875, People’s Republic of China","Received 19 March 2019, Accepted 20 April 2019, Available online 2 May 2019, Version of Record 11 May 2019.",https://doi.org/10.1016/j.spl.2019.04.013,Cited by (4), and by a Doob’s ====-transform. The conditioned CB-process is constructed as the strong solution of a ==== equation. We use the distribution of the conditioned process to construct directly the canonical Kuznetsov measure of the CB-process. The later is reconstructed from positive paths picked up by a Poisson random measure based on the canonical Kuznetsov measure.,None,A conditioned continuous-state branching process with applications,https://www.sciencedirect.com/science/article/pii/S0167715219301166,2 May 2019,2019,Research Article,881.0
Lee Ji Hyung,"Department of Economics, University of Illinois, 1407 W. Gregory Dr., 214 David Kinley Hall, Urbana, IL 61801, USA","Received 18 November 2017, Revised 16 April 2019, Accepted 20 April 2019, Available online 30 April 2019, Version of Record 10 May 2019.",https://doi.org/10.1016/j.spl.2019.04.012,Cited by (0),"This paper proposes a new martingale (MG) decomposition (Gordin, 1969; Hall and Heyde, 1980) for a dependent time series under a predictive dependence measure based on Wu (2005). The decomposition produces a generalized version of the Beveridge–Nelson (BN) lemma (Phillips and Solo, 1992) that accommodates many nonlinear time series, such as ==== and threshold autoregressive processes, thereby extending the empirical ambit of the original lemma designed for the linear process. Under this extended framework, MG approximations can be constructed for weighted sums of the nonlinear dependent processes and these approximations lead directly to a new ==== whose range of application includes many practical ====.",None,Martingale decomposition and approximations for nonlinearly dependent processes,https://www.sciencedirect.com/science/article/pii/S0167715219301154,30 April 2019,2019,Research Article,882.0
"Matuła Przemysław,Kurasiński Paweł,Adler André","Institute of Mathematics, Marie Curie-Skłodowska University, pl. M.C.-Skłodowskiej 1, 20-031 Lublin, Poland,Department of Mathematics, Illinois Institute of Technology, Chicago, IL, 60616, USA","Received 17 January 2019, Revised 5 April 2019, Accepted 20 April 2019, Available online 29 April 2019, Version of Record 17 May 2019.",https://doi.org/10.1016/j.spl.2019.04.014,Cited by (5),"Let ==== be an array of independent and identically distributed random variables. We take the smallest order statistics ==== and ==== in each row and consider the ratios ==== and when ==== is fixed. Our theorems are proved under very mild conditions and they extend the results of all the papers on this topic that only explored the uniform, exponential and Pareto distributions.",None,Exact strong laws of large numbers for ratios of the smallest order statistics,https://www.sciencedirect.com/science/article/pii/S0167715219301178,29 April 2019,2019,Research Article,883.0
Myronyuk Margaryta,"B. Verkin Institute for Low Temperature Physics and Engineering of the National Academy of Sciences of Ukraine, 47 Nauky Ave., Kharkiv, 61103, Ukraine","Received 4 July 2018, Revised 28 January 2019, Accepted 20 April 2019, Available online 27 April 2019, Version of Record 17 May 2019.",https://doi.org/10.1016/j.spl.2019.04.010,Cited by (4),Let ====-independent random variables taking values in the group ====.,None,Characterization of distributions of ,https://www.sciencedirect.com/science/article/pii/S0167715219301130,27 April 2019,2019,Research Article,884.0
Efromovich Sam,"Department of Mathematical Sciences, UTDallas, TX 75080, USA","Received 16 August 2018, Revised 12 April 2019, Accepted 16 April 2019, Available online 25 April 2019, Version of Record 3 May 2019.",https://doi.org/10.1016/j.spl.2019.04.007,Cited by (0),Sharp ==== of ==== with specific boundary conditions. The theory is based on a renown lower bound of Pinsker (1980) and an adaptive estimator that attains it. This paper solves a long-standing problem of adaptive estimation without assuming boundary conditions.,None,On sharp nonparametric estimation of differentiable functions,https://www.sciencedirect.com/science/article/pii/S0167715219301105,25 April 2019,2019,Research Article,885.0
"Yao Xuan,Slud Eric","Data and Statistical Sciences, AbbVie, North Chicago, IL, United States,Department of Mathematics, University of Maryland, College Park, MD, United States","Received 4 October 2018, Revised 7 April 2019, Accepted 16 April 2019, Available online 25 April 2019, Version of Record 3 May 2019.",https://doi.org/10.1016/j.spl.2019.04.006,Cited by (0),It is proved under broad ,None,Nonexistence of an unbiased estimating function for the Cox model,https://www.sciencedirect.com/science/article/pii/S0167715219301099,25 April 2019,2019,Research Article,886.0
"Liu Yang,Zhang Xiuzhen,Li Mengke,Liu Guanfu,Zhu Lin","Key Laboratory of Advanced Theory and Application in Statistics and Data Science - MOE, School of Statistics, East China Normal University, Shanghai, 200062, China,School of Mathematics and Statistics, Datong University, Datong, 037009, China,School of Statistics and Information, Shanghai University of International Business and Economics, Shanghai, 201620, China,Institute of Statistics and Big Data, Renmin University of China, Beijing, 100872, China","Received 10 May 2018, Revised 3 April 2019, Accepted 8 April 2019, Available online 23 April 2019, Version of Record 3 May 2019.",https://doi.org/10.1016/j.spl.2019.04.003,Cited by (0),For the abundance parameter in capture–recapture studies with missing ,None,Abundance estimation based on optimal estimating function with missing covariates in capture–recapture studies,https://www.sciencedirect.com/science/article/pii/S0167715219301063,23 April 2019,2019,Research Article,887.0
"Leisen Fabrizio,Mena Ramsés H.,Palma Freddy,Rossini Luca","University of Kent, UK,IIMAS, UNAM, Mexico,Vrije Universiteit Amsterdam, The Netherlands","Received 17 January 2019, Revised 3 April 2019, Accepted 8 April 2019, Available online 17 April 2019, Version of Record 29 April 2019.",https://doi.org/10.1016/j.spl.2019.04.004,Cited by (2),"This work presents a construction of stationary Markov models with negative-binomial marginal distributions. A simple closed form expression for the corresponding ==== is given, linking the proposal to well-known classes of birth and death processes and thus revealing interesting characterizations. The advantage of having such closed form expressions is tested on simulated and real data.",None,On a flexible construction of a negative binomial model,https://www.sciencedirect.com/science/article/pii/S0167715219301075,17 April 2019,2019,Research Article,888.0
"Beekenkamp Thomas,Hulshof Tim","Mathematisches Institut, Ludwig-Maximilians-Universität München, Theresienstrasse 39, 80333 München, Germany,Department of Mathematics and Computer Science, Eindhoven University of Technology, P.O. Box 513, 5600 MB Eindhoven, The Netherlands","Received 28 March 2018, Accepted 19 March 2019, Available online 16 April 2019, Version of Record 10 May 2019.",https://doi.org/10.1016/j.spl.2019.03.013,Cited by (0),"In this note we study the phase transition for percolation on quasi-transitive graphs with quasi-transitive inhomogeneous edge-retention ====. A quasi-transitive graph is an infinite graph with finitely many different “types” of edges and vertices. We prove that the transition is sharp almost everywhere, i.e., that in the subcritical regime the expected cluster size is finite, and that in the subcritical regime the probability of the one-arm event decays exponentially. Our proof extends the proof of sharpness of the phase transition for homogeneous percolation on vertex-transitive graphs by Duminil-Copin and Tassion (2016) and the result generalizes previous results of Antunović and Veselić (2008) and Menshikov (1986).",None,Sharpness for inhomogeneous percolation on quasi-transitive graphs,https://www.sciencedirect.com/science/article/pii/S0167715219300896,16 April 2019,2019,Research Article,889.0
Milliken Evan,"School of Mathematical and Statistical Sciences, Arizona State University, United States","Received 2 October 2018, Revised 6 February 2019, Accepted 1 April 2019, Available online 12 April 2019, Version of Record 28 April 2019.",https://doi.org/10.1016/j.spl.2019.04.001,Cited by (1),A proof of a general theorem for the calculation of conditional mean duration of a finite absorbing discrete ,None,Applications of the fundamental matrix to mean absorption and conditional mean absorption problems,https://www.sciencedirect.com/science/article/pii/S0167715219301026,12 April 2019,2019,Research Article,890.0
"Withers Christopher S.,Nadarajah Saralees","Industrial Research Limited, Lower Hutt, New Zealand,University of Manchester, Manchester M13 9PL, UK","Received 20 February 2019, Revised 21 March 2019, Accepted 2 April 2019, Available online 8 April 2019, Version of Record 16 April 2019.",https://doi.org/10.1016/j.spl.2019.04.002,Cited by (0),"We give expansions for the distribution function, density function and moments of the sample minimum when sampling from a distribution on ==== that is nearly analytic at zero. Similar results are given for the sample maximum when sampling from a distribution on ==== that is nearly analytic at ====. When these distributions are analytic, the expansions are in inverse powers of the sample size ====. If not, they require a double expansion.",None,The distribution of the minimum of a positive sample,https://www.sciencedirect.com/science/article/pii/S0167715219301051,8 April 2019,2019,Research Article,891.0
Kirsch Werner,"Fakultät für Mathematik und Informatik, FernUniversität in Hagen, Germany","Received 29 October 2018, Revised 19 March 2019, Accepted 19 March 2019, Available online 3 April 2019, Version of Record 12 April 2019.",https://doi.org/10.1016/j.spl.2019.03.014,Cited by (18),"-valued exchangeable sequences as a ‘mixture’ of sequences of independent random variables. We present a new, elementary proof of de Finetti’s Theorem. The purpose of this paper is to make this theorem accessible to a broader community through an essentially self-contained proof.",None,An elementary proof of de Finetti’s theorem,https://www.sciencedirect.com/science/article/pii/S0167715219300902,3 April 2019,2019,Research Article,892.0
Gao Zhi-Qiang,"Laboratory of Mathematics and Complex Systems (Ministry of Education of China), School of Mathematical Sciences, Beijing Normal University, Beijing 100875, PR China","Received 10 April 2018, Accepted 19 March 2019, Available online 3 April 2019, Version of Record 10 April 2019.",https://doi.org/10.1016/j.spl.2019.03.016,Cited by (1), in a given set. Our result extends the previous one obtained by Chen (2001) for a simple branching random walk with second moment condition for the offspring law.,None,Exact convergence rate in the local central limit theorem for a lattice branching random walk on ,https://www.sciencedirect.com/science/article/pii/S0167715219300926,3 April 2019,2019,Research Article,893.0
Lin Qian,"School of Economics and Management, Wuhan University, China","Received 2 October 2018, Revised 12 March 2019, Accepted 12 March 2019, Available online 2 April 2019, Version of Record 12 April 2019.",https://doi.org/10.1016/j.spl.2019.03.006,Cited by (14),-expectations.,None,Jensen inequality for superlinear expectations,https://www.sciencedirect.com/science/article/pii/S0167715219300823,2 April 2019,2019,Research Article,894.0
"Higbee Joshua D.,Jensen Jonathan E.,McDonald James B.","Department of Economics, Brigham Young University, Provo, UT 84602, USA,Sloan School of Management, Massachusetts Institute of Technology, 100 Main St, Cambridge, MA 02142, USA","Received 6 November 2018, Revised 16 March 2019, Accepted 22 March 2019, Available online 1 April 2019, Version of Record 11 April 2019.",https://doi.org/10.1016/j.spl.2019.03.018,Cited by (2),The asymmetric log-Laplace (ALL) and the generalized ==== of the second kind (GB2) have been used in many applications. We demonstrate that the ALL is a limiting case of the GB2 and examine their ability to model stock returns.,None,The asymmetric log-Laplace distribution as a limiting case of the generalized beta distribution,https://www.sciencedirect.com/science/article/pii/S016771521930094X,1 April 2019,2019,Research Article,895.0
"Ramosaj Burim,Pauly Markus","Faculty of Statistics, Institute for Mathematical Statistics and Industrial Applications, Technical University of Dortmund, Joseph-von-Frauenhofer Strasse 2-4, 44227 Dortmund, Germany","Received 27 December 2018, Revised 1 March 2019, Accepted 19 March 2019, Available online 1 April 2019, Version of Record 9 April 2019.",https://doi.org/10.1016/j.spl.2019.03.017,Cited by (18),"-consistent random forest models, we provide random forest based residual variance estimators and prove their consistency.",None,Consistent estimation of residual variance with random forest Out-Of-Bag errors,https://www.sciencedirect.com/science/article/pii/S0167715219300938,1 April 2019,2019,Research Article,896.0
